model,scenario,case_name,elapsed_seconds
alphafast,protein_protein,1BRS_barnase_barstar,52
alphafast,protein_protein,1EMV_trypsin_inhibitor,52
alphafast,protein_protein,2PV7_homodimer,52
alphafast,protein_protein,3HFM_lysozyme_fab,52
alphafast,protein_ligand,1HSG_HIV_protease_indinavir,52
alphafast,protein_ligand,3HTB_CDK2_inhibitor,52
alphafast,protein_ligand,4LDE_BRAF_vemurafenib,52
alphafast,protein_ligand,6LU7_Mpro_N3,52
alphafast,protein_ligand,7RN1_3CL_inhibitor,52
alphafast,protein_rna,1ASY_tRNA_synthetase,52
alphafast,protein_rna,1URN_U1A_RNA,52
alphafast,protein_rna,2AZ0_U1A_RNA_hairpin,52
alphafast,monomer,1CRN_crambin,52
alphafast,monomer,1L2Y_trpcage,52
alphafast,monomer,1MBN_myoglobin,52
alphafast,monomer,1UBQ_ubiquitin,52
alphafast,monomer,2GB1_protein_G,52
alphafast,antibody_antigen,1AHW_ab_tissue_factor,52
alphafast,antibody_antigen,1DVF_idiotope,52
alphafast,antibody_antigen,1MLC_ab_lysozyme,52
alphafast,antibody_antigen,4FQI_trastuzumab_HER2,52
alphafast,antibody_antigen,7N4I_RBD_neutralizing_ab,52
alphafast,protein_dna,1BL0_MarA_DNA,52
alphafast,protein_dna,1J1V_DnaA_DNA,52
alphafast,protein_dna,1LMB_lambda_repressor_DNA,52
alphafast,protein_dna,3HDD_homeodomain_DNA,52
alphafast,homo_multimer,14GS_GST_homodimer,52
alphafast,homo_multimer,1HTI_TIM_homodimer,52
alphafast,homo_multimer,1SAK_p53_TET_tetramer,52
alphafast,metal_ion,1CA2_carbonic_anhydrase_ZN,52
alphafast,metal_ion,2SOD_superoxide_dismutase_CU_ZN,52
alphafast,metal_ion,8TLN_thermolysin_ZN_CA,52
alphafast,covalent_mod,4G5J_EGFR_afatinib,52
alphafast,covalent_mod,5P9J_BTK_ibrutinib,52
alphafast,covalent_mod,6OIM_KRAS_G12C_sotorasib,52
rf3,protein_protein,1BRS_barnase_barstar,53
rf3,protein_protein,1EMV_trypsin_inhibitor,50
rf3,protein_protein,2PV7_homodimer,89
rf3,protein_protein,3HFM_lysozyme_fab,46
rf3,protein_ligand,1HSG_HIV_protease_indinavir,51
rf3,protein_ligand,3HTB_CDK2_inhibitor,51
rf3,protein_ligand,4LDE_BRAF_vemurafenib,78
rf3,protein_ligand,6LU7_Mpro_N3,53
rf3,protein_ligand,7RN1_3CL_inhibitor,43
rf3,protein_rna,1ASY_tRNA_synthetase,77
rf3,protein_rna,1URN_U1A_RNA,35
rf3,protein_rna,2AZ0_U1A_RNA_hairpin,35
rf3,monomer,1CRN_crambin,28
rf3,monomer,1L2Y_trpcage,27
rf3,monomer,1MBN_myoglobin,36
rf3,monomer,1UBQ_ubiquitin,28
rf3,monomer,2GB1_protein_G,28
rf3,antibody_antigen,1AHW_ab_tissue_factor,79
rf3,antibody_antigen,1DVF_idiotope,54
rf3,antibody_antigen,1MLC_ab_lysozyme,67
rf3,antibody_antigen,4FQI_trastuzumab_HER2,62
rf3,antibody_antigen,7N4I_RBD_neutralizing_ab,50
rf3,protein_dna,1BL0_MarA_DNA,40
rf3,protein_dna,1J1V_DnaA_DNA,35
rf3,protein_dna,1LMB_lambda_repressor_DNA,38
rf3,protein_dna,3HDD_homeodomain_DNA,39
rf3,homo_multimer,14GS_GST_homodimer,49
rf3,homo_multimer,1HTI_TIM_homodimer,54
rf3,homo_multimer,1SAK_p53_TET_tetramer,34
rf3,metal_ion,1CA2_carbonic_anhydrase_ZN,39
rf3,metal_ion,2SOD_superoxide_dismutase_CU_ZN,41
rf3,metal_ion,8TLN_thermolysin_ZN_CA,39
rf3,covalent_mod,4G5J_EGFR_afatinib,45
rf3,covalent_mod,5P9J_BTK_ibrutinib,43
rf3,covalent_mod,6OIM_KRAS_G12C_sotorasib,38
boltz2,protein_protein,1BRS_barnase_barstar,73
boltz2,protein_protein,1EMV_trypsin_inhibitor,57
boltz2,protein_protein,2PV7_homodimer,72
boltz2,protein_protein,3HFM_lysozyme_fab,55
boltz2,protein_ligand,1HSG_HIV_protease_indinavir,56
boltz2,protein_ligand,3HTB_CDK2_inhibitor,54
boltz2,protein_ligand,4LDE_BRAF_vemurafenib,98
boltz2,protein_ligand,6LU7_Mpro_N3,57
boltz2,protein_ligand,7RN1_3CL_inhibitor,50
boltz2,protein_rna,1ASY_tRNA_synthetase,105
boltz2,protein_rna,1URN_U1A_RNA,63
boltz2,protein_rna,2AZ0_U1A_RNA_hairpin,53
boltz2,monomer,1CRN_crambin,50
boltz2,monomer,1L2Y_trpcage,51
boltz2,monomer,1MBN_myoglobin,55
boltz2,monomer,1UBQ_ubiquitin,72
boltz2,monomer,2GB1_protein_G,59
boltz2,antibody_antigen,1AHW_ab_tissue_factor,145
boltz2,antibody_antigen,1DVF_idiotope,106
boltz2,antibody_antigen,1MLC_ab_lysozyme,107
boltz2,antibody_antigen,4FQI_trastuzumab_HER2,100
boltz2,antibody_antigen,7N4I_RBD_neutralizing_ab,94
boltz2,protein_dna,1BL0_MarA_DNA,105
boltz2,protein_dna,1J1V_DnaA_DNA,87
boltz2,protein_dna,1LMB_lambda_repressor_DNA,79
boltz2,protein_dna,3HDD_homeodomain_DNA,81
boltz2,homo_multimer,14GS_GST_homodimer,67
boltz2,homo_multimer,1HTI_TIM_homodimer,131
